glutamate_concentration, competition_strength, communication_strength, biofilm_1_initial_phase, biofilm_3_initial_phase, mean_output_phase1, mean_output_phase2, mean_output_phase3, phase_dif_1_2, phase_dif_2_3, phase_dif_1_3
0.5,1.0,0.2,0,0,2.8647923005429172,2.8647923006063882,2.8647923006711444,6.347136149997822e-11,6.475602276623249e-11,1.2822738426621073e-10
0.5,1.0,0.2,0,3.141592653589793,3.6899508024430943,3.4463203701692846,2.8526905216990146,2.564606356493729,1.5183452858490838,2.8255028205982753
0.5,1.0,0.2,3.141592653589793,0,2.8526143084300655,3.446168959669744,3.6898673534899684,1.5183724040348168,2.5645604911338493,2.8254805425454395
0.5,1.0,0.2,3.141592653589793,3.141592653589793,3.311253188477088,3.3112531886617367,3.3112531888450016,1.8464874074197724e-10,1.8326460349271657e-10,3.679133442346938e-10
0.5,25.75,0.2,0,0,3.5302603985328767,3.530260398533536,3.5302603985336836,6.59383658785373e-13,1.7053025658242404e-13,8.071765478234738e-13
0.5,25.75,0.2,0,3.141592653589793,3.2290780696868886,3.420767541148096,3.0981464652838833,1.9222306983257496,1.629421615946994,2.7046281721600254
0.5,25.75,0.2,3.141592653589793,0,3.0981980793808526,3.4207515271929063,3.2291449830778354,1.6294418972264495,1.9221969372896908,2.7046276501928075
0.5,25.75,0.2,3.141592653589793,3.141592653589793,2.734185318835146,2.7341853249807593,2.734185318835146,6.1456134403670145e-09,6.1456134403670145e-09,0.0
0.5,50.5,0.2,0,0,3.407702721651673,3.407702721651673,3.407702721651673,0.0,0.0,0.0
0.5,50.5,0.2,0,3.141592653589793,3.1707632922748394,3.078787787765287,3.47968439477319,1.7577611483429494,1.3731147362129967,2.336649783678974
0.5,50.5,0.2,3.141592653589793,0,3.479632653100785,3.0788641424683925,3.170724628470166,1.373017062732392,1.7578065155438523,2.3366407580721393
0.5,50.5,0.2,3.141592653589793,3.141592653589793,3.058420440981095,3.0584208479874873,3.058420440981095,4.070063923222733e-07,4.070063923222733e-07,0.0
0.5,75.25,0.2,0,0,2.8800354154160503,2.8800354154160503,2.8800354154160615,0.0,1.1368683772161604e-14,1.1368683772161604e-14
0.5,75.25,0.2,0,3.141592653589793,3.8384499832304164,2.9441725535814527,3.5492024682870245,2.017963205344467,1.5163859047736898,2.679402999219539
0.5,75.25,0.2,3.141592653589793,0,3.549283619134838,2.944193624529876,3.8385820213522814,1.5164261531586383,2.0179448394245076,2.6794236112239305
0.5,75.25,0.2,3.141592653589793,3.141592653589793,3.6224827666365633,3.6224895663210868,3.622482766629856,6.799684523173255e-06,6.79969123069668e-06,6.707523425575346e-12
